                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6981,                 6.8844,                 3.7104,                      0,                      0,                      0,                      0,                 6.2418,                 6.1851,                 4.2154,              0.0002361,              0.0002361,              0.0002361
                      2,                 3.8704,                  3.033,                 2.1936,                0.74326,                0.20513,                0.09423,                0.01903,                 2.9341,                 2.3981,                 1.9537,             0.00046471,             0.00046471,             0.00046471
                      3,                 3.1468,                 2.4068,                 1.7701,                0.79133,                0.21473,                0.18526,                0.07103,                 2.3966,                 2.2823,                 1.6361,              0.0006839,              0.0006839,              0.0006839
                      4,                 2.8045,                 2.0628,                 1.5523,                0.97562,                0.23077,                0.32131,                0.12472,                 2.2702,                  1.862,                  1.478,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.5512,                 1.9108,                 1.4525,                      1,                0.25385,                0.32723,                0.11731,                 2.4534,                 1.7234,                 1.6339,             0.00067159,             0.00067159,             0.00067159
                      6,                 2.3955,                 1.7627,                 1.3913,                      1,                 0.2248,                0.32659,                0.14448,                 2.1511,                 1.6416,                 1.4913,             0.00065745,             0.00065745,             0.00065745
                      7,                 2.3365,                 1.6581,                 1.3534,                0.99673,                0.20513,                0.32409,                0.13789,                 2.1045,                 1.5155,                 1.3744,             0.00064331,             0.00064331,             0.00064331
                      8,                 2.2395,                 1.6099,                 1.3326,                0.95624,                0.30769,                 0.7096,                0.33357,                  1.905,                 1.4114,                 1.3442,             0.00062918,             0.00062918,             0.00062918
                      9,                 2.1566,                 1.5135,                 1.2746,                0.95902,                0.25641,                0.78554,                0.26728,                 2.1969,                 1.2828,                 1.3444,             0.00061504,             0.00061504,             0.00061504
                     10,                 2.1286,                 1.4802,                 1.2539,                0.97388,                0.33333,                0.72252,                0.24607,                 2.0347,                 1.1956,                 1.2639,              0.0006009,              0.0006009,              0.0006009
                     11,                 2.0856,                  1.447,                 1.2406,                0.96822,                0.28205,                0.59207,                0.30673,                 1.8523,                  1.309,                 1.2744,             0.00058677,             0.00058677,             0.00058677
                     12,                 2.0299,                 1.3993,                 1.2237,                0.49134,                0.66667,                0.96541,                0.45371,                 1.8189,                 1.2745,                 1.2049,             0.00057263,             0.00057263,             0.00057263
                     13,                 2.0244,                 1.3775,                 1.2073,                0.80706,                0.64548,                 0.8082,                 0.4586,                 1.6618,                 1.1711,                 1.1859,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.9958,                 1.3505,                 1.2048,                0.98835,                0.25641,                 0.4728,                0.21828,                 2.0203,                 1.1676,                   1.23,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.9516,                 1.3264,                 1.1898,                0.79378,                0.61539,                0.81811,                0.36422,                 1.8248,                 1.1839,                  1.184,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.9164,                 1.3132,                 1.1829,                0.64464,                0.66667,                0.81655,                0.43394,                 1.7911,                  1.114,                 1.1775,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.9179,                 1.3175,                 1.1802,                0.36913,                0.66667,                0.74977,                0.45731,                 1.8443,                 1.1061,                 1.1622,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.8752,                 1.2571,                 1.1547,                0.73583,                0.66667,                0.72435,                0.34408,                 1.6911,                 1.1032,                 1.1332,              0.0004878,              0.0004878,              0.0004878
                     19,                  1.896,                  1.294,                 1.1672,                0.97411,                0.30471,                0.57194,                0.32497,                 1.6901,                0.99844,                 1.1056,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.8927,                 1.2386,                 1.1577,                0.81272,                0.66667,                0.97857,                0.51938,                 1.6171,                  1.077,                 1.1209,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.8557,                 1.2502,                 1.1439,                0.75849,                0.66667,                0.76484,                0.43957,                 1.5598,                0.97812,                 1.1053,             0.00044539,             0.00044539,             0.00044539
